"","Tissue","Cell_type","Change","Gene"
"498","Kidney","Loop_of_Henle_cell","Positive","Cyp4b1"
"499","Kidney","Loop_of_Henle_cell","Positive","Acsm2"
"500","Kidney","Loop_of_Henle_cell","Positive","Ugt2b38"
"501","Kidney","Loop_of_Henle_cell","Positive","Cyp2e1"
"502","Kidney","Loop_of_Henle_cell","Positive","Acy3"
"503","Kidney","Loop_of_Henle_cell","Positive","Selenop"
"504","Kidney","Macrophage","Positive","Kap"
"505","Kidney","Macrophage","Positive","Acsm2"
"506","Kidney","Macrophage","Positive","Acy3"
"507","Kidney","Mesangial_cell_1","Positive","Kap"
"508","Kidney","Mesangial_cell_1","Positive","Cyp4b1"
"509","Kidney","Mesangial_cell_1","Positive","Acsm2"
"510","Kidney","Mesangial_cell_1","Positive","Cyp2e1"
"511","Kidney","Mesangial_cell_1","Positive","Ugt2b38"
"512","Kidney","Mesangial_cell_1","Positive","Acy3"
"513","Kidney","Mesangial_cell_1","Positive","Slc7a13"
"514","Kidney","Mesangial_cell_2","Positive","Kap"
"515","Kidney","Monocyte_1","Positive","Kap"
"516","Kidney","Monocyte_1","Positive","Cyp4b1"
"517","Kidney","NK_cell","Positive","Kap"
"518","Kidney","Podocyte_cell","Positive","Kap"
"519","Kidney","Proximal_convoluted_tubule_1","Positive","Cyp4b1"
"520","Kidney","Proximal_convoluted_tubule_1","Positive","Ugt2b38"
"521","Kidney","Proximal_convoluted_tubule_1","Positive","Acsm2"
"522","Kidney","Proximal_convoluted_tubule_1","Positive","Selenop"
"523","Kidney","Proximal_convoluted_tubule_1","Positive","Cyp2e1"
"524","Kidney","Proximal_convoluted_tubule_1","Positive","Kap"
"525","Kidney","Proximal_convoluted_tubule_1","Positive","Ces1f"
"526","Kidney","Proximal_convoluted_tubule_1","Positive","Acy3"
"527","Kidney","Proximal_convoluted_tubule_1","Positive","Slc7a13"
"528","Kidney","Proximal_convoluted_tubule_1","Positive","Odc1"
"529","Kidney","Proximal_convoluted_tubule_1","Positive","Inmt"
"530","Kidney","Proximal_convoluted_tubule_1","Positive","Acsm3"
"531","Kidney","Proximal_convoluted_tubule_1","Positive","Cndp2"
"532","Kidney","Proximal_convoluted_tubule_1","Positive","Slco1a1"
"533","Kidney","Proximal_convoluted_tubule_1","Positive","Cyp2j13"
"534","Kidney","Proximal_convoluted_tubule_1","Positive","Ly6e"
"535","Kidney","Proximal_convoluted_tubule_1","Positive","Hsd17b11"
"536","Kidney","Proximal_convoluted_tubule_1","Positive","Cd36"
"537","Kidney","Proximal_convoluted_tubule_1","Positive","Cycs"
"538","Kidney","Proximal_convoluted_tubule_1","Positive","Ces2c"
"539","Kidney","Proximal_convoluted_tubule_1","Positive","Slc22a30"
"540","Kidney","Proximal_convoluted_tubule_1","Positive","Ldhd"
"541","Kidney","Proximal_convoluted_tubule_1","Positive","Lpl"
"542","Kidney","Proximal_convoluted_tubule_1","Positive","Amacr"
"543","Kidney","Proximal_convoluted_tubule_1","Positive","Nudt19"
"544","Kidney","Proximal_convoluted_tubule_1","Positive","Ly6a"
"545","Kidney","Proximal_convoluted_tubule_1","Positive","Cyp4a12a"
"546","Kidney","Proximal_convoluted_tubule_1","Positive","Atp11a"
"547","Kidney","Proximal_convoluted_tubule_1","Positive","Smpdl3a"
"548","Kidney","Proximal_convoluted_tubule_1","Positive","Ybx1"
"549","Kidney","Proximal_convoluted_tubule_1","Positive","Adh1"
"550","Kidney","Proximal_convoluted_tubule_1","Positive","Fmo5"
"551","Kidney","Proximal_convoluted_tubule_1","Positive","Ugt2b37"
"552","Kidney","Proximal_convoluted_tubule_1","Positive","Serpinf2"
"553","Kidney","Proximal_convoluted_tubule_1","Positive","Slc17a3"
"554","Kidney","Proximal_convoluted_tubule_1","Positive","Tmem176a"
"555","Kidney","Proximal_convoluted_tubule_1","Positive","Msrb1"
"556","Kidney","Proximal_convoluted_tubule_1","Positive","Slc22a28"
"557","Kidney","Proximal_convoluted_tubule_1","Positive","Ttr"
"558","Kidney","Proximal_convoluted_tubule_1","Positive","Sdc2"
"559","Kidney","Proximal_convoluted_tubule_1","Positive","Fuca2"
"560","Kidney","Proximal_convoluted_tubule_1","Positive","Cyb5a"
"561","Kidney","Proximal_convoluted_tubule_1","Positive","Agps"
"562","Kidney","Proximal_convoluted_tubule_1","Positive","Gas2"
"563","Kidney","Proximal_convoluted_tubule_1","Positive","Hsd11b1"
"564","Kidney","Proximal_convoluted_tubule_1","Positive","Slco3a1"
"565","Kidney","Proximal_convoluted_tubule_1","Positive","Nhp2"
"566","Kidney","Proximal_convoluted_tubule_1","Positive","Mkrn1"
"567","Kidney","Proximal_convoluted_tubule_1","Positive","Pank1"
"568","Kidney","Proximal_convoluted_tubule_2","Positive","Kap"
"569","Kidney","Proximal_convoluted_tubule_2","Positive","Ugt2b38"
"570","Kidney","Proximal_convoluted_tubule_2","Positive","Selenop"
"571","Kidney","Proximal_convoluted_tubule_2","Positive","Cyp4b1"
"572","Kidney","Proximal_convoluted_tubule_2","Positive","Cyp2j13"
"573","Kidney","Proximal_convoluted_tubule_2","Positive","Ces1f"
"574","Kidney","Proximal_convoluted_tubule_2","Positive","Cyp2e1"
"575","Kidney","Proximal_convoluted_tubule_2","Positive","Pecr"
"576","Kidney","Proximal_convoluted_tubule_2","Positive","Slc22a28"
"577","Kidney","Proximal_convoluted_tubule_2","Positive","Slc22a30"
"578","Kidney","Proximal_convoluted_tubule_2","Positive","Acy3"
"579","Kidney","Proximal_convoluted_tubule_2","Positive","Ybx1"
"580","Kidney","Proximal_convoluted_tubule_2","Positive","Cycs"
"581","Kidney","Proximal_convoluted_tubule_2","Positive","Cndp2"
"582","Kidney","Proximal_convoluted_tubule_2","Positive","Ttr"
"583","Kidney","Proximal_convoluted_tubule_2","Positive","AY036118"
"584","Kidney","Proximal_convoluted_tubule_3","Positive","Kap"
"585","Kidney","Proximal_convoluted_tubule_3","Positive","Cyp4b1"
"586","Kidney","Proximal_convoluted_tubule_3","Positive","Slc22a30"
"587","Kidney","Proximal_convoluted_tubule_3","Positive","Ces1f"
"588","Kidney","Proximal_convoluted_tubule_3","Positive","Ugt2b38"
"589","Kidney","Proximal_convoluted_tubule_3","Positive","Cyp2j13"
"590","Kidney","Proximal_convoluted_tubule_3","Positive","Selenop"
"591","Kidney","Proximal_convoluted_tubule_3","Positive","Acy3"
"592","Kidney","Proximal_convoluted_tubule_3","Positive","Cyp2e1"
"593","Kidney","Proximal_convoluted_tubule_3","Positive","Slc17a3"
"594","Kidney","Proximal_convoluted_tubule_3","Positive","Slc22a28"
"595","Kidney","Proximal_convoluted_tubule_3","Positive","Ugt8a"
"596","Kidney","Proximal_convoluted_tubule_3","Positive","Cndp2"
"597","Kidney","Proximal_convoluted_tubule_3","Positive","Slc7a13"
"598","Kidney","Proximal_convoluted_tubule_3","Positive","Pecr"
"599","Kidney","Proximal_convoluted_tubule_3","Positive","Hsd3b2"
"600","Kidney","Proximal_convoluted_tubule_3","Positive","Odc1"
"601","Kidney","Proximal_convoluted_tubule_3","Positive","Ttr"
"602","Kidney","Proximal_convoluted_tubule_3","Positive","Nudt19"
"603","Kidney","Proximal_convoluted_tubule_3","Positive","Atp11a"
"604","Kidney","Proximal_convoluted_tubule_3","Positive","Gm45792"
"605","Kidney","Proximal_straight_tubule_1","Positive","Ces1f"
"606","Kidney","Proximal_straight_tubule_1","Positive","Ugt2b38"
"607","Kidney","Proximal_straight_tubule_1","Positive","Cyp4b1"
"608","Kidney","Proximal_straight_tubule_1","Positive","Cyp2e1"
"609","Kidney","Proximal_straight_tubule_1","Positive","Cyp2j13"
"610","Kidney","Proximal_straight_tubule_1","Positive","Acy3"
"611","Kidney","Proximal_straight_tubule_1","Positive","Acsm2"
"612","Kidney","Proximal_straight_tubule_1","Positive","Selenop"
"613","Kidney","Proximal_straight_tubule_1","Positive","Cd36"
"614","Kidney","Proximal_straight_tubule_1","Positive","Kap"
"615","Kidney","Proximal_straight_tubule_1","Positive","Slc7a13"
"616","Kidney","Proximal_straight_tubule_1","Positive","Odc1"
"617","Kidney","Proximal_straight_tubule_1","Positive","Slc22a30"
"618","Kidney","Proximal_straight_tubule_1","Positive","Cndp2"
"619","Kidney","Proximal_straight_tubule_1","Positive","Atp11a"
"620","Kidney","Proximal_straight_tubule_1","Positive","Acsm3"
"621","Kidney","Proximal_straight_tubule_1","Positive","Lpl"
"622","Kidney","Proximal_straight_tubule_1","Positive","Ldhd"
"623","Kidney","Proximal_straight_tubule_1","Positive","Inmt"
"624","Kidney","Proximal_straight_tubule_1","Positive","Slco1a1"
"625","Kidney","Proximal_straight_tubule_1","Positive","Ly6e"
"626","Kidney","Proximal_straight_tubule_1","Positive","Nudt19"
"627","Kidney","Proximal_straight_tubule_1","Positive","Ces2c"
"628","Kidney","Proximal_straight_tubule_1","Positive","Ugt8a"
"629","Kidney","Proximal_straight_tubule_1","Positive","Adh1"
"630","Kidney","Proximal_straight_tubule_1","Positive","Amacr"
"631","Kidney","Proximal_straight_tubule_1","Positive","Agps"
"632","Kidney","Proximal_straight_tubule_1","Positive","Hsd17b11"
"633","Kidney","Proximal_straight_tubule_1","Positive","Slc17a3"
"634","Kidney","Proximal_straight_tubule_1","Positive","Pecr"
"635","Kidney","Proximal_straight_tubule_1","Positive","Cyp4a12a"
"636","Kidney","Proximal_straight_tubule_1","Positive","Ybx1"
"637","Kidney","Proximal_straight_tubule_1","Positive","Fmo5"
"638","Kidney","Proximal_straight_tubule_1","Positive","Cycs"
"639","Kidney","Proximal_straight_tubule_1","Positive","Degs2"
"640","Kidney","Proximal_straight_tubule_1","Positive","Akr1c14"
"641","Kidney","Proximal_straight_tubule_1","Positive","Sdc2"
"642","Kidney","Proximal_straight_tubule_1","Positive","Pank1"
"643","Kidney","Proximal_straight_tubule_1","Positive","Cpe"
"644","Kidney","Proximal_straight_tubule_1","Positive","Msrb1"
"645","Kidney","Proximal_straight_tubule_1","Positive","Slco3a1"
"646","Kidney","Proximal_straight_tubule_1","Positive","Slco1a6"
"647","Kidney","Proximal_straight_tubule_1","Positive","Cyb5a"
"648","Kidney","Proximal_straight_tubule_1","Positive","Acat1"
"649","Kidney","Proximal_straight_tubule_1","Positive","Slc22a28"
"650","Kidney","Proximal_straight_tubule_1","Positive","Pzp"
"651","Kidney","Proximal_straight_tubule_1","Positive","Phyh"
"652","Kidney","Proximal_straight_tubule_1","Positive","Arl6ip1"
"653","Kidney","Proximal_straight_tubule_1","Positive","Ly6a"
"654","Kidney","Proximal_straight_tubule_1","Positive","Me1"
"655","Kidney","Proximal_straight_tubule_1","Positive","Lap3"
"656","Kidney","Proximal_straight_tubule_1","Positive","Serpinf2"
"657","Kidney","Proximal_straight_tubule_1","Positive","Ugt2b37"
"658","Kidney","Proximal_straight_tubule_1","Positive","Csad"
"659","Kidney","Proximal_straight_tubule_1","Positive","Fuca2"
"660","Kidney","Proximal_straight_tubule_1","Positive","Nhp2"
"661","Kidney","Proximal_straight_tubule_1","Positive","Hmgcs1"
"662","Kidney","Proximal_straight_tubule_1","Positive","Smpdl3a"
"663","Kidney","Proximal_straight_tubule_1","Positive","C1qtnf3"
"664","Kidney","Proximal_straight_tubule_1","Positive","Smarca2"
"665","Kidney","Proximal_straight_tubule_1","Positive","Cmtm6"
"666","Kidney","Proximal_straight_tubule_1","Positive","Wwp1"
"667","Kidney","Proximal_straight_tubule_1","Positive","Galns"
"668","Kidney","Proximal_straight_tubule_1","Positive","BC049987"
"669","Kidney","Proximal_straight_tubule_1","Positive","Mkrn1"
"670","Kidney","Proximal_straight_tubule_1","Positive","B4galt5"
"671","Kidney","Proximal_straight_tubule_1","Positive","Proc"
"672","Kidney","Proximal_straight_tubule_1","Positive","Bdh1"
"673","Kidney","Proximal_straight_tubule_1","Positive","Hsd11b1"
"674","Kidney","Proximal_straight_tubule_1","Positive","Cystm1"
"675","Kidney","Proximal_straight_tubule_1","Positive","Cyp2a4"
"676","Kidney","Proximal_straight_tubule_1","Positive","Tmem176a"
"677","Kidney","Proximal_straight_tubule_1","Positive","Mpv17l"
"678","Kidney","Proximal_straight_tubule_1","Positive","Them7"
"679","Kidney","Proximal_straight_tubule_1","Positive","H2afj"
"680","Kidney","Proximal_straight_tubule_1","Positive","Smim4"
"681","Kidney","Proximal_straight_tubule_1","Positive","Gclm"
"682","Kidney","Proximal_straight_tubule_1","Positive","Slc22a6"
"683","Kidney","Proximal_straight_tubule_1","Positive","Tmco3"
"684","Kidney","Proximal_straight_tubule_1","Positive","Serinc3"
"685","Kidney","Proximal_straight_tubule_1","Positive","Ace"
"686","Kidney","Proximal_straight_tubule_1","Positive","Pi4ka"
"687","Kidney","Proximal_straight_tubule_1","Positive","Gas2"
"688","Kidney","Proximal_straight_tubule_1","Positive","Psap"
"689","Kidney","Proximal_straight_tubule_1","Positive","4931406C07Rik"
"690","Kidney","Proximal_straight_tubule_1","Positive","Prdx5"
"691","Kidney","Proximal_straight_tubule_1","Positive","Defb29"
"692","Kidney","Proximal_straight_tubule_1","Positive","Ttr"
"693","Kidney","Proximal_straight_tubule_1","Positive","Ghr"
"694","Kidney","Proximal_straight_tubule_1","Positive","Galnt1"
"695","Kidney","Proximal_straight_tubule_1","Positive","Tmem176b"
"696","Kidney","Proximal_straight_tubule_1","Positive","Cib1"
"697","Kidney","Proximal_straight_tubule_1","Positive","Reep5"
"698","Kidney","Proximal_straight_tubule_1","Positive","Coasy"
"699","Kidney","Proximal_straight_tubule_1","Positive","Lypla1"
"700","Kidney","Proximal_straight_tubule_1","Positive","Zbtb20"
"701","Kidney","Proximal_straight_tubule_2","Positive","Cyp4b1"
"702","Kidney","Proximal_straight_tubule_2","Positive","Kap"
"703","Kidney","Proximal_straight_tubule_2","Positive","Slc22a30"
"704","Kidney","Proximal_straight_tubule_2","Positive","Ces1f"
"705","Kidney","Proximal_straight_tubule_2","Positive","Atp11a"
"706","Kidney","Proximal_straight_tubule_2","Positive","Acy3"
"707","Kidney","Proximal_straight_tubule_2","Positive","Ugt2b38"
"708","Kidney","Proximal_straight_tubule_2","Positive","Cyp2e1"
"709","Kidney","Proximal_straight_tubule_2","Positive","Acsm2"
"710","Kidney","Proximal_straight_tubule_2","Positive","Slc7a13"
"711","Kidney","Proximal_straight_tubule_2","Positive","Slco1a1"
"712","Kidney","Proximal_straight_tubule_2","Positive","Smarca2"
"713","Kidney","Proximal_straight_tubule_2","Positive","Odc1"
"714","Kidney","Proximal_straight_tubule_2","Positive","Cndp2"
"715","Kidney","Proximal_straight_tubule_2","Positive","Zbtb20"
"716","Kidney","Proximal_straight_tubule_2","Positive","Acsm3"
"717","Kidney","Proximal_straight_tubule_2","Positive","Inmt"
"718","Kidney","Proximal_straight_tubule_2","Positive","Slc22a28"
"719","Kidney","Proximal_straight_tubule_2","Positive","Slc17a3"
"720","Kidney","Proximal_straight_tubule_2","Positive","Agps"
"721","Kidney","Proximal_straight_tubule_2","Positive","Cyp2j13"
"722","Kidney","Proximal_straight_tubule_2","Positive","Ldhd"
"723","Kidney","Proximal_straight_tubule_2","Positive","Selenop"
"724","Kidney","Proximal_straight_tubule_2","Positive","Cd36"
"725","Kidney","Proximal_straight_tubule_2","Positive","Nudt19"
"726","Kidney","Proximal_straight_tubule_2","Positive","Mat2a"
"727","Kidney","Proximal_straight_tubule_2","Positive","Ugt8a"
"728","Kidney","Proximal_straight_tubule_2","Positive","Lpl"
"729","Kidney","Proximal_straight_tubule_2","Positive","Hsd3b2"
"730","Kidney","Proximal_straight_tubule_2","Positive","Amacr"
"731","Kidney","Proximal_straight_tubule_2","Positive","Slco3a1"
"732","Kidney","Proximal_straight_tubule_2","Positive","Ces2c"
"733","Kidney","Proximal_straight_tubule_2","Positive","Erc2"
"734","Kidney","Proximal_straight_tubule_2","Positive","D10Wsu102e"
"735","Kidney","Proximal_straight_tubule_2","Positive","Fmo5"
"736","Kidney","Proximal_straight_tubule_2","Positive","Hsd17b11"
"737","Kidney","Proximal_straight_tubule_2","Positive","Neat1"
"738","Kidney","Proximal_straight_tubule_2","Positive","Pank1"
"739","Kidney","Proximal_straight_tubule_2","Positive","Csad"
"740","Kidney","Proximal_straight_tubule_2","Positive","Ugt2b37"
"741","Kidney","Proximal_straight_tubule_2","Positive","Cyp4a12a"
"742","Kidney","Proximal_straight_tubule_2","Positive","Cyb5a"
"743","Kidney","Proximal_straight_tubule_2","Positive","Me1"
"744","Kidney","Proximal_straight_tubule_2","Positive","Kif20b"
"745","Kidney","Proximal_straight_tubule_2","Positive","Serpinf2"
"746","Kidney","Proximal_straight_tubule_2","Positive","Ggt1"
"747","Kidney","Proximal_straight_tubule_2","Positive","Akr1c14"
"748","Kidney","Proximal_straight_tubule_2","Positive","Plekha8"
"749","Kidney","Proximal_straight_tubule_2","Positive","Ly6e"
"750","Kidney","Proximal_straight_tubule_2","Positive","Ybx1"
"751","Kidney","Proximal_straight_tubule_2","Positive","Lypla1"
"752","Kidney","Proximal_straight_tubule_2","Positive","Ttr"
"753","Kidney","Proximal_straight_tubule_2","Positive","BC049987"
"754","Kidney","Proximal_straight_tubule_2","Positive","B4galt5"
"755","Kidney","Proximal_straight_tubule_2","Positive","Kyat1"
"756","Kidney","Proximal_straight_tubule_2","Positive","Pi4ka"
"757","Kidney","Proximal_straight_tubule_2","Positive","Cmtm6"
"758","Kidney","Proximal_straight_tubule_2","Positive","Ly6a"
"759","Kidney","Proximal_straight_tubule_2","Positive","Tmem30a"
"760","Kidney","Proximal_straight_tubule_2","Positive","Larp1b"
"761","Kidney","Proximal_straight_tubule_2","Positive","Galnt1"
"762","Kidney","Smooth_muscle","Positive","Kap"
"763","Kidney","Smooth_muscle","Positive","Cyp4b1"
"764","Kidney","Smooth_muscle","Positive","Ugt2b38"
"765","Kidney","Smooth_muscle","Positive","Cyp2e1"
"766","Kidney","Smooth_muscle","Positive","Acsm2"
"767","Kidney","Smooth_muscle","Positive","Cndp2"
"768","Kidney","Smooth_muscle","Positive","Slc7a13"
"769","Kidney","Smooth_muscle","Positive","Acy3"
"770","Kidney","T_cell","Positive","Kap"
"771","Kidney","T_cell","Positive","Cyp4b1"
"772","Kidney","T_cell","Positive","Ugt2b38"
"773","Kidney","T_cell","Positive","Acsm2"
"774","Kidney","Descending_thin_lmb","Negative","Gsta2"
"775","Kidney","Endothelial_1","Negative","Gsta2"
"776","Kidney","Endothelial_2","Negative","Hspa8"
"777","Kidney","Endothelial_2","Negative","Hsp90aa1"
"778","Kidney","Proximal_convoluted_tubule_1","Negative","Gsta4"
"779","Kidney","Proximal_convoluted_tubule_1","Negative","Cbr1"
"780","Kidney","Proximal_convoluted_tubule_1","Negative","Hao2"
"781","Kidney","Proximal_convoluted_tubule_1","Negative","Gsta2"
"782","Kidney","Proximal_convoluted_tubule_1","Negative","Rdh16f2"
"783","Kidney","Proximal_convoluted_tubule_1","Negative","Gm10639"
"784","Kidney","Proximal_convoluted_tubule_1","Negative","Prlr"
"785","Kidney","Proximal_convoluted_tubule_1","Negative","Spp1"
"786","Kidney","Proximal_convoluted_tubule_1","Negative","Hpd"
"787","Kidney","Proximal_convoluted_tubule_1","Negative","Rida"
"788","Kidney","Proximal_convoluted_tubule_1","Negative","Cyp4a14"
"789","Kidney","Proximal_convoluted_tubule_1","Negative","Wfdc2"
"790","Kidney","Proximal_convoluted_tubule_1","Negative","Sgk1"
"791","Kidney","Proximal_convoluted_tubule_1","Negative","Apoe"
"792","Kidney","Proximal_convoluted_tubule_1","Negative","Glul"
"793","Kidney","Proximal_convoluted_tubule_1","Negative","Acsl1"
"794","Kidney","Proximal_convoluted_tubule_1","Negative","Hacl1"
"795","Kidney","Proximal_convoluted_tubule_1","Negative","Acaa1b"
"796","Kidney","Proximal_convoluted_tubule_1","Negative","Papss2"
"797","Kidney","Proximal_convoluted_tubule_1","Negative","Pdxk"
"798","Kidney","Proximal_convoluted_tubule_1","Negative","Pla2g16"
"799","Kidney","Proximal_convoluted_tubule_1","Negative","Bhmt"
"800","Kidney","Proximal_convoluted_tubule_1","Negative","1700011H14Rik"
"801","Kidney","Proximal_convoluted_tubule_1","Negative","Kynu"
"802","Kidney","Proximal_convoluted_tubule_1","Negative","Rpl10"
"803","Kidney","Proximal_convoluted_tubule_1","Negative","Acot3"
"804","Kidney","Proximal_convoluted_tubule_1","Negative","Mif"
"805","Kidney","Proximal_convoluted_tubule_1","Negative","Acot1"
"806","Kidney","Proximal_convoluted_tubule_1","Negative","Pck1"
"807","Kidney","Proximal_convoluted_tubule_1","Negative","Gsta3"
"808","Kidney","Proximal_convoluted_tubule_1","Negative","Aldh2"
"809","Kidney","Proximal_convoluted_tubule_1","Negative","Cyp2c23"
"810","Kidney","Proximal_convoluted_tubule_1","Negative","Rps4x"
"811","Kidney","Proximal_convoluted_tubule_1","Negative","Rpl14"
"812","Kidney","Proximal_convoluted_tubule_1","Negative","Fmo1"
"813","Kidney","Proximal_convoluted_tubule_1","Negative","Cyp2d26"
"814","Kidney","Proximal_convoluted_tubule_1","Negative","Scd1"
"815","Kidney","Proximal_convoluted_tubule_1","Negative","Pxmp2"
"816","Kidney","Proximal_convoluted_tubule_1","Negative","Cth"
"817","Kidney","Proximal_convoluted_tubule_1","Negative","Cyp4a10"
"818","Kidney","Proximal_convoluted_tubule_1","Negative","Nox4"
"819","Kidney","Proximal_convoluted_tubule_1","Negative","Hmgcs2"
"820","Kidney","Proximal_convoluted_tubule_1","Negative","Mgst3"
"821","Kidney","Proximal_convoluted_tubule_1","Negative","Fmo2"
"822","Kidney","Proximal_convoluted_tubule_1","Negative","Gas6"
"823","Kidney","Proximal_convoluted_tubule_1","Negative","Slc22a8"
"824","Kidney","Proximal_convoluted_tubule_1","Negative","Slc6a18"
"825","Kidney","Proximal_convoluted_tubule_2","Negative","Rdh16f2"
"826","Kidney","Proximal_convoluted_tubule_2","Negative","Spp1"
"827","Kidney","Proximal_convoluted_tubule_2","Negative","Gsta4"
"828","Kidney","Proximal_convoluted_tubule_2","Negative","Gc"
"829","Kidney","Proximal_convoluted_tubule_2","Negative","Apoe"
"830","Kidney","Proximal_convoluted_tubule_2","Negative","Cyp4a14"
"831","Kidney","Proximal_convoluted_tubule_2","Negative","Gm10639"
"832","Kidney","Proximal_convoluted_tubule_2","Negative","Gsta2"
"833","Kidney","Proximal_convoluted_tubule_2","Negative","Nox4"
"834","Kidney","Proximal_convoluted_tubule_2","Negative","Ubc"
"835","Kidney","Proximal_convoluted_tubule_2","Negative","Glul"
"836","Kidney","Proximal_convoluted_tubule_2","Negative","Hao2"
"837","Kidney","Proximal_convoluted_tubule_2","Negative","Errfi1"
"838","Kidney","Proximal_convoluted_tubule_2","Negative","Papss2"
"839","Kidney","Proximal_convoluted_tubule_2","Negative","Cyp4a10"
"840","Kidney","Proximal_convoluted_tubule_2","Negative","Acaa1b"
"841","Kidney","Proximal_convoluted_tubule_3","Negative","Ndrg1"
"842","Kidney","Proximal_convoluted_tubule_3","Negative","Spp1"
"843","Kidney","Proximal_convoluted_tubule_3","Negative","Rdh16f2"
"844","Kidney","Proximal_convoluted_tubule_3","Negative","Slc22a29"
"845","Kidney","Proximal_convoluted_tubule_3","Negative","Apoe"
"846","Kidney","Proximal_convoluted_tubule_3","Negative","Pck1"
"847","Kidney","Proximal_convoluted_tubule_3","Negative","Cyp4a14"
"848","Kidney","Proximal_convoluted_tubule_3","Negative","Gsta2"
"849","Kidney","Proximal_convoluted_tubule_3","Negative","Sgk1"
"850","Kidney","Proximal_straight_tubule_1","Negative","Prlr"
"851","Kidney","Proximal_straight_tubule_1","Negative","Spp1"
"852","Kidney","Proximal_straight_tubule_1","Negative","Apoe"
"853","Kidney","Proximal_straight_tubule_1","Negative","Cyp4a14"
"854","Kidney","Proximal_straight_tubule_1","Negative","Rdh16f2"
"855","Kidney","Proximal_straight_tubule_1","Negative","Gsta4"
"856","Kidney","Proximal_straight_tubule_1","Negative","Hao2"
"857","Kidney","Proximal_straight_tubule_1","Negative","Cbr1"
"858","Kidney","Proximal_straight_tubule_1","Negative","Acsl1"
"859","Kidney","Proximal_straight_tubule_1","Negative","Gsta2"
"860","Kidney","Proximal_straight_tubule_1","Negative","Oat"
"861","Kidney","Proximal_straight_tubule_1","Negative","Wfdc2"
"862","Kidney","Proximal_straight_tubule_1","Negative","Cyp2d26"
"863","Kidney","Proximal_straight_tubule_1","Negative","Slc22a8"
"864","Kidney","Proximal_straight_tubule_1","Negative","Ugt1a2"
"865","Kidney","Proximal_straight_tubule_1","Negative","Gm10639"
"866","Kidney","Proximal_straight_tubule_1","Negative","Kynu"
"867","Kidney","Proximal_straight_tubule_1","Negative","Sgk1"
"868","Kidney","Proximal_straight_tubule_1","Negative","Cyp4a10"
"869","Kidney","Proximal_straight_tubule_1","Negative","Nox4"
"870","Kidney","Proximal_straight_tubule_1","Negative","Abcc4"
"871","Kidney","Proximal_straight_tubule_1","Negative","Cpn1"
"872","Kidney","Proximal_straight_tubule_1","Negative","Hpd"
"873","Kidney","Proximal_straight_tubule_1","Negative","Prodh2"
"874","Kidney","Proximal_straight_tubule_1","Negative","Glul"
"875","Kidney","Proximal_straight_tubule_1","Negative","Papss2"
"876","Kidney","Proximal_straight_tubule_1","Negative","Ndrg1"
"877","Kidney","Proximal_straight_tubule_1","Negative","Hacl1"
"878","Kidney","Proximal_straight_tubule_1","Negative","Gas6"
"879","Kidney","Proximal_straight_tubule_1","Negative","Etnk1"
"880","Kidney","Proximal_straight_tubule_1","Negative","Bhmt"
"881","Kidney","Proximal_straight_tubule_1","Negative","Acot3"
"882","Kidney","Proximal_straight_tubule_1","Negative","Slc13a3"
"883","Kidney","Proximal_straight_tubule_1","Negative","Acaa1b"
"884","Kidney","Proximal_straight_tubule_1","Negative","Miox"
"885","Kidney","Proximal_straight_tubule_1","Negative","Cotl1"
"886","Kidney","Proximal_straight_tubule_1","Negative","S100g"
"887","Kidney","Proximal_straight_tubule_1","Negative","Fmo1"
"888","Kidney","Proximal_straight_tubule_1","Negative","Gldc"
"889","Kidney","Proximal_straight_tubule_1","Negative","Slc13a1"
"890","Kidney","Proximal_straight_tubule_1","Negative","Mif"
"891","Kidney","Proximal_straight_tubule_1","Negative","Alpl"
"892","Kidney","Proximal_straight_tubule_1","Negative","Rdh16"
"893","Kidney","Proximal_straight_tubule_1","Negative","Flrt1"
"894","Kidney","Proximal_straight_tubule_1","Negative","Pdxk"
"895","Kidney","Proximal_straight_tubule_1","Negative","Fam13a"
"896","Kidney","Proximal_straight_tubule_1","Negative","Dhrs3"
"897","Kidney","Proximal_straight_tubule_1","Negative","Lyplal1"
"898","Kidney","Proximal_straight_tubule_1","Negative","Idh1"
"899","Kidney","Proximal_straight_tubule_1","Negative","Car2"
"900","Kidney","Proximal_straight_tubule_1","Negative","Spp2"
"901","Kidney","Proximal_straight_tubule_1","Negative","Cyp4a31"
"902","Kidney","Proximal_straight_tubule_1","Negative","Folh1"
"903","Kidney","Proximal_straight_tubule_1","Negative","Id3"
"904","Kidney","Proximal_straight_tubule_1","Negative","Ptprd"
"905","Kidney","Proximal_straight_tubule_1","Negative","Aqp1"
"906","Kidney","Proximal_straight_tubule_1","Negative","1700011H14Rik"
"907","Kidney","Proximal_straight_tubule_1","Negative","Pck1"
"908","Kidney","Proximal_straight_tubule_1","Negative","Cpeb4"
"909","Kidney","Proximal_straight_tubule_1","Negative","Pdzk1ip1"
"910","Kidney","Proximal_straight_tubule_1","Negative","Wsb1"
"911","Kidney","Proximal_straight_tubule_1","Negative","Acaa2"
"912","Kidney","Proximal_straight_tubule_1","Negative","Cela1"
"913","Kidney","Proximal_straight_tubule_1","Negative","Ar"
"914","Kidney","Proximal_straight_tubule_1","Negative","Id2"
"915","Kidney","Proximal_straight_tubule_1","Negative","Slc6a18"
